simulation_id,mu,Delta,chi,p,k,tauc,sleep_time,bedtime,number_of_switches,dlmo,x_f,xc_f,n_f,H_f,S_f
1,19.0,6.0,11.0,0.2,-1.0,23.8,6.855,23.14,2.0,21.355,-0.2769360476674751,-1.011202492393679,0.18638035029440134,16.332318796671743,1.0
5,19.0,6.0,11.0,0.2,-0.5,23.5,7.025000000000002,22.97,2.0,21.145,-0.49598228826142476,-0.9423330431591747,0.18638035029440134,15.348629309497303,1.0
6,19.0,6.0,11.0,0.2,-0.5,23.8,6.594999999999999,23.400000000000002,2.0,22.01,-0.28918460818838165,-1.025808530398038,0.18638035029440134,16.126797120097386,1.0
10,19.0,6.0,11.0,0.2,0.0,23.5,7.574999999999999,22.400000000000002,2.0,20.14,-0.7295375724962486,-0.7802587372568338,0.18638035029440134,14.370282614715384,1.0
11,19.0,6.0,11.0,0.2,0.0,23.8,7.335000000000001,22.66,2.0,20.705000000000002,-0.6307970235496965,-0.8817767209231502,0.18638035029440134,14.798437841736451,1.0
12,19.0,6.0,11.0,0.2,0.0,24.1,7.07,22.925,2.0,21.28,-0.5104039378544739,-0.9665202778007395,0.18638035029440134,15.268937597125458,1.0
13,19.0,6.0,11.0,0.2,0.0,24.4,6.775000000000002,23.22,2.0,21.900000000000002,-0.3673388608029371,-1.0325656611893366,0.18638035029440134,15.789182054909535,1.0
15,19.0,6.0,11.0,0.2,0.5,23.5,7.335000000000001,21.995,2.0,19.32,-0.8446716972732708,-0.5846732568738686,0.18638035029440134,13.937436011979031,1.0
16,19.0,6.0,11.0,0.2,0.5,23.8,7.605,22.1,2.0,19.875,-0.7942495055865889,-0.7153151538025488,0.18638035029440134,13.965427372879866,1.0
17,19.0,6.0,11.0,0.2,0.5,24.1,7.565000000000001,22.43,2.0,20.39,-0.7231755026091063,-0.8227306792512943,0.18638035029440134,14.413512025574152,1.0
18,19.0,6.0,11.0,0.2,0.5,24.4,7.359999999999999,22.635,2.0,20.88,-0.6372373369832539,-0.9105489415447536,0.18638035029440134,14.76311550131978,1.0
19,19.0,6.0,11.0,0.2,0.5,24.7,7.150000000000002,22.845,2.0,21.36,-0.5396563955848768,-0.9817230561692143,0.18638035029440134,15.128065913848014,1.0
20,19.0,6.0,11.0,0.2,1.0,23.5,6.515000000000001,21.995,2.0,17.94,-0.8162724734575155,-0.20988338369384857,0.18638035029440134,14.219690205868792,1.0
21,19.0,6.0,11.0,0.2,1.0,23.8,7.099999999999998,21.995,2.0,18.94,-0.8601300219763766,-0.46653978209650615,0.18638035029440134,14.020439264010387,1.0
22,19.0,6.0,11.0,0.2,1.0,24.1,7.504999999999999,21.995,2.0,19.59,-0.8393124700384036,-0.6324757889461956,0.18638035029440134,13.876276051375003,1.0
23,19.0,6.0,11.0,0.2,1.0,24.4,7.745000000000001,22.25,2.0,20.115000000000002,-0.7913884994846946,-0.7559880882207791,0.18638035029440134,14.10439356595119,1.0
24,19.0,6.0,11.0,0.2,1.0,24.7,7.574999999999999,22.42,2.0,20.575,-0.7283584498076733,-0.8521636215208016,0.18638035029440134,14.396624291982057,1.0
25,19.0,6.0,11.0,0.4,-1.0,23.5,6.655000000000001,23.34,2.0,21.69,-0.26578008471735093,-1.0082418074320347,0.17512126698088631,16.316835412156586,1.0
28,19.0,6.0,11.0,0.4,-1.0,24.4,7.035,21.995,2.0,18.785,-0.648294587627431,-0.7953682450604137,0.17512126698088631,14.298161517999697,1.0
30,19.0,6.0,11.0,0.4,-0.5,23.5,7.065000000000001,22.93,2.0,21.055,-0.516975789285552,-0.9269254458358632,0.17512126698088631,15.269823640702551,1.0
