simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
61,1,ebook_first,22.42,6.494999999999997,3.5,25.200000000000102,None,90
61,2,ebook_first,22.410000000000004,6.68,3.3550000000000004,24.60000000000022,eBook,90
61,3,ebook_first,22.39,6.659999999999997,3.575000000000003,23.400000000000034,eBook,90
61,4,ebook_first,22.320000000000007,6.655000000000001,3.4750000000000085,19.200000000000443,eBook,90
61,5,ebook_first,22.254999999999995,6.655000000000001,3.394999999999996,15.299999999999727,eBook,90
61,6,ebook_first,22.200000000000017,6.654999999999973,3.3299999999999983,12.000000000001023,eBook,90
61,7,ebook_first,22.150000000000006,6.47999999999999,3.280000000000001,9.000000000000341,None,90
61,8,ebook_first,22.055000000000007,6.6299999999999955,3.125,3.3000000000004093,Book,90
61,9,ebook_first,21.995000000000005,6.615000000000009,3.1850000000000023,0.0,Book,90
61,10,ebook_first,21.995000000000005,6.594999999999999,2.944999999999993,0.0,Book,90
61,11,ebook_first,21.995000000000005,6.574999999999989,2.75,0.0,Book,90
61,12,ebook_first,21.995000000000005,6.550000000000011,2.590000000000032,0.0,Book,90
61,13,ebook_first,21.995000000000005,6.399999999999977,2.454999999999984,0.0,None,90
62,1,ebook_first,23.02,6.870000000000001,3.5,61.199999999999974,None,90
62,2,ebook_first,23.07,6.925000000000004,3.3550000000000004,64.20000000000002,eBook,90
62,3,ebook_first,23.015,6.980000000000004,3.5799999999999983,60.900000000000034,eBook,90
62,4,ebook_first,22.965000000000003,7.0049999999999955,3.4750000000000085,57.900000000000205,eBook,90
62,5,ebook_first,22.915000000000006,6.99499999999999,3.394999999999996,54.900000000000375,eBook,90
62,6,ebook_first,22.86500000000001,6.9950000000000045,3.3299999999999983,51.900000000000546,eBook,90
62,7,ebook_first,22.825000000000017,6.8349999999999795,3.280000000000001,49.50000000000102,None,90
62,8,ebook_first,22.72999999999999,6.985000000000014,3.125,43.799999999999386,Book,90
62,9,ebook_first,22.569999999999993,6.960000000000008,3.1850000000000023,34.19999999999959,Book,90
62,10,ebook_first,22.375,6.965000000000003,2.950000000000017,22.5,Book,90
62,11,ebook_first,22.204999999999984,6.975000000000023,2.75,12.299999999999045,Book,90
62,12,ebook_first,22.060000000000002,6.980000000000018,2.590000000000032,3.6000000000001364,Book,90
62,13,ebook_first,22.05000000000001,6.839999999999975,2.454999999999984,3.000000000000682,None,90
89,1,ebook_first,23.045,6.949999999999999,3.5,62.7000000000001,None,90
89,2,ebook_first,23.134999999999998,6.8600000000000065,3.3550000000000004,68.09999999999988,eBook,90
89,3,ebook_first,23.025000000000006,6.969999999999999,3.5799999999999983,61.50000000000034,eBook,90
89,4,ebook_first,22.989999999999995,7.00500000000001,3.4750000000000085,59.39999999999969,eBook,90
89,5,ebook_first,22.955,7.040000000000006,3.394999999999996,57.2999999999999,eBook,90
89,6,ebook_first,22.92500000000001,7.069999999999993,3.335000000000008,55.50000000000068,eBook,90
89,7,ebook_first,22.909999999999997,7.085000000000008,3.2849999999999966,54.599999999999795,None,90
89,8,ebook_first,22.89500000000001,7.099999999999994,3.125,53.700000000000614,Book,90
89,9,ebook_first,22.710000000000008,7.284999999999997,3.1899999999999977,42.60000000000048,Book,90
89,10,ebook_first,22.599999999999994,7.39500000000001,2.950000000000017,35.99999999999966,Book,90
89,11,ebook_first,22.50999999999999,7.485000000000014,2.7549999999999955,30.599999999999454,Book,90
89,12,ebook_first,22.430000000000007,7.564999999999998,2.590000000000032,25.80000000000041,Book,90
