simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
32,19.0,6.0,11.0,0.55,0.475,24.1,0.5,7.535000000000025,310.46,317.995,20.420000000000016,-0.7120548178302051,-0.8234775075080629,0.16413461883655128,14.464183591284637,1.0
26,19.0,6.0,11.0,0.55,0.4,23.95,0.5,7.600000000000023,310.395,317.995,20.245000000000005,-0.7356570350351325,-0.7909867725133668,0.16413461883655128,14.354388852825595,1.0
107,19.0,6.0,11.0,0.7,0.475,24.1,0.5,7.529999999999973,310.46500000000003,317.995,20.420000000000016,-0.7088987885368997,-0.8196097598297982,0.15086738934325597,14.480273271938115,1.0
113,19.0,6.0,11.0,0.7,0.55,24.25,0.5,7.454999999999984,310.54,317.995,20.610000000000014,-0.6795938238635333,-0.853969215614727,0.15086738934325597,14.600209263127239,1.0
112,19.0,6.0,11.0,0.7,0.55,24.1,0.5,7.589999999999975,310.40500000000003,317.995,20.30000000000001,-0.7334690410771939,-0.7957672069185993,0.15086738934325597,14.363665999946244,1.0
106,19.0,6.0,11.0,0.7,0.475,23.95,0.5,7.634999999999991,310.295,317.93,20.095000000000027,-0.7610486421606115,-0.7560303379360311,0.15086738934325597,14.21131225221437,1.0
27,19.0,6.0,11.0,0.55,0.4,24.1,0.5,7.46999999999997,310.52500000000003,317.995,20.545000000000016,-0.6859960016156973,-0.8465394936631924,0.16413461883655128,14.574629037487203,1.0
33,19.0,6.0,11.0,0.55,0.475,24.25,0.5,7.410000000000025,310.585,317.995,20.704999999999984,-0.661093884868122,-0.875145358919303,0.16413461883655128,14.677159566146537,1.0
25,19.0,6.0,11.0,0.55,0.4,23.8,0.5,7.599999999999966,310.17,317.77,19.944999999999993,-0.7801891335159544,-0.7287456210511164,0.16413461883655128,14.056346740698302,1.0
31,19.0,6.0,11.0,0.55,0.475,23.95,0.5,7.650000000000034,310.325,317.975,20.125,-0.7585873019422932,-0.7653245223576312,0.16413461883655128,14.2444491847454,1.0
19,19.0,6.0,11.0,0.5,0.625,24.4,0.5,7.430000000000007,310.565,317.995,20.730000000000018,-0.6689688101684097,-0.8795489008283528,0.16805113894097778,14.642920564749724,1.0
110,19.0,6.0,11.0,0.7,0.55,23.8,0.5,7.509999999999991,309.995,317.505,19.629999999999995,-0.8238829862898784,-0.6544398713718059,0.15086738934325597,13.874564291856052,1.0
104,19.0,6.0,11.0,0.7,0.4,24.4,0.5,7.1650000000000205,310.83,317.995,21.185000000000002,-0.5553455124385808,-0.9441134366512517,0.15086738934325597,15.101678798027404,1.0
105,19.0,6.0,11.0,0.7,0.475,23.8,0.5,7.564999999999998,309.995,317.56,19.75999999999999,-0.8065005037210818,-0.6846262191696549,0.15086738934325597,13.854565956861368,1.0
111,19.0,6.0,11.0,0.7,0.55,23.95,0.5,7.625,310.175,317.8,19.970000000000027,-0.7821196759562696,-0.729421895611764,0.15086738934325597,14.060870613372328,1.0
18,19.0,6.0,11.0,0.5,0.625,24.25,0.5,7.545000000000016,310.45,317.995,20.45999999999998,-0.7159326857571288,-0.8306575744487061,0.16805113894097778,14.447249835538162,1.0
30,19.0,6.0,11.0,0.55,0.475,23.8,0.5,7.5849999999999795,310.045,317.63,19.819999999999993,-0.7993572158323604,-0.7007453724262409,0.16413461883655128,13.91035440694155,1.0
24,19.0,6.0,11.0,0.5,0.7,24.4,0.5,7.4950000000000045,310.5,317.995,20.610000000000014,-0.6952509280291777,-0.8581462121020054,0.16805113894097778,14.53207276763936,1.0
20,19.0,6.0,11.0,0.5,0.7,23.8,0.5,7.425000000000011,309.995,317.42,19.454999999999984,-0.8435193806389574,-0.6108513961629729,0.16805113894097778,13.905274800618225,1.0
34,19.0,6.0,11.0,0.55,0.475,24.4,0.5,7.285000000000025,310.71,317.995,20.99000000000001,-0.6060096084042882,-0.9212178758723275,0.16413461883655128,14.892569525810913,1.0
115,19.0,6.0,11.0,0.7,0.625,23.8,0.5,7.449999999999989,309.995,317.445,19.5,-0.8394618268127296,-0.6221945432492685,0.15086738934325597,13.896266919050436,1.0
101,19.0,6.0,11.0,0.7,0.4,23.95,0.5,7.605000000000018,310.39,317.995,20.220000000000027,-0.7379239964034487,-0.7818706580584432,0.15086738934325597,14.3459699460204,1.0
100,19.0,6.0,11.0,0.7,0.4,23.8,0.5,7.5849999999999795,310.11,317.695,19.88499999999999,-0.7873505041208654,-0.7131547976947606,0.15086738934325597,13.99279529135492,1.0
114,19.0,6.0,11.0,0.7,0.55,24.4,0.5,7.314999999999998,310.68,317.995,20.920000000000016,-0.6210342312614223,-0.905305832142673,0.15086738934325597,14.840647673018447,1.0
35,19.0,6.0,11.0,0.55,0.55,23.8,0.5,7.545000000000016,309.995,317.54,19.694999999999993,-0.8166873588029119,-0.6711823345278415,0.16413461883655128,13.861849650586231,1.0
21,19.0,6.0,11.0,0.5,0.7,23.95,0.5,7.595000000000027,309.995,317.59000000000003,19.769999999999982,-0.8146299235384025,-0.6845250335122102,0.16805113894097778,13.843615555376678,1.0
37,19.0,6.0,11.0,0.55,0.55,24.1,0.5,7.600000000000023,310.395,317.995,20.30000000000001,-0.7361731291131318,-0.799585637918005,0.16413461883655128,14.354388852825391,1.0
23,19.0,6.0,11.0,0.5,0.7,24.25,0.5,7.605000000000018,310.39,317.995,20.340000000000032,-0.7393159018451647,-0.8071297885503491,0.16805113894097778,14.345969946020022,1.0
102,19.0,6.0,11.0,0.7,0.4,24.1,0.5,7.4599999999999795,310.535,317.995,20.545000000000016,-0.6824320549414205,-0.8426461038465342,0.15086738934325597,14.591678645160071,1.0
116,19.0,6.0,11.0,0.7,0.625,23.95,0.5,7.605000000000018,310.055,317.66,19.850000000000023,-0.8014775168166205,-0.7014281284258578,0.15086738934325597,13.915655722695302,1.0
117,19.0,6.0,11.0,0.7,0.625,24.1,0.5,7.654999999999973,310.34000000000003,317.995,20.180000000000007,-0.7562688461113866,-0.7709573549974118,0.15086738934325597,14.261991016195898,1.0
103,19.0,6.0,11.0,0.7,0.4,24.25,0.5,7.314999999999998,310.68,317.995,20.86500000000001,-0.621389851285272,-0.8965775704278761,0.15086738934325597,14.840647673021037,1.0
22,19.0,6.0,11.0,0.5,0.7,24.1,0.5,7.675000000000011,310.24,317.915,20.060000000000002,-0.7795999745946417,-0.7493154032059698,0.16805113894097778,14.125401516450415,1.0
36,19.0,6.0,11.0,0.55,0.55,23.95,0.5,7.635000000000048,310.205,317.84000000000003,20.004999999999995,-0.779398581410707,-0.7389120771311982,0.16413461883655128,14.095322644320508,1.0
92,19.0,6.0,11.0,0.6499999999999999,0.625,24.1,0.5,7.654999999999973,310.34000000000003,317.995,20.180000000000007,-0.7571483549633609,-0.7722478805396238,0.15553772802775026,14.26199101619589,1.0
86,19.0,6.0,11.0,0.6499999999999999,0.55,23.95,0.5,7.6299999999999955,310.185,317.815,19.985000000000014,-0.7811658480399202,-0.7328385619960269,0.15553772802775026,14.07177308021639,1.0
51,19.0,6.0,11.0,0.6,0.4,23.95,0.5,7.600000000000023,310.395,317.995,20.24000000000001,-0.7363685678963382,-0.7881901551277811,0.15996243827183032,14.354388852825277,1.0
