simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
122,19.5,9.0,9.0,0.6,0.55,24.2,0.5,6.949999999999989,311.045,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,16.029616719175856,1.0
37,18.0,7.0,9.0,0.6,0.55,24.2,0.5,6.560000000000002,311.435,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.55840646612352,1.0
36,18.0,7.0,8.0,0.6,0.55,24.2,0.5,6.545000000000016,311.045,317.59000000000003,20.495000000000005,-0.7032394995421056,-0.8354153960160785,0.15996243827183032,14.933302144795585,1.0
123,19.5,9.0,10.0,0.6,0.55,24.2,0.5,6.694999999999993,311.3,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,16.468960239821918,1.0
109,19.5,6.0,11.0,0.6,0.55,24.2,0.5,7.96999999999997,310.02500000000003,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,14.103233079933881,1.0
121,19.5,9.0,8.0,0.6,0.55,24.2,0.5,7.259999999999991,310.735,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.377861422798755,1.0
34,18.0,6.0,11.0,0.6,0.55,24.2,0.5,6.634999999999991,311.36,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.208130208351866,1.0
120,19.5,9.0,7.0,0.6,0.55,24.2,0.5,7.350000000000023,310.185,317.535,20.495000000000005,-0.7032394995432198,-0.8354153960149279,0.15996243827183032,14.129501490696342,1.0
108,19.5,6.0,10.0,0.6,0.55,24.2,0.5,7.730000000000018,309.995,317.725,20.495000000000005,-0.7032394995435558,-0.8354153960145847,0.15996243827183032,14.114654933413291,1.0
118,19.5,8.0,10.0,0.6,0.55,24.2,0.5,7.189999999999998,310.805,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.493577500757342,1.0
119,19.5,8.0,11.0,0.6,0.55,24.2,0.5,6.9599999999999795,311.035,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,15.8711803379532,1.0
32,18.0,6.0,9.0,0.6,0.55,24.2,0.5,6.685000000000002,310.685,317.37,20.495000000000005,-0.7032394995429944,-0.8354153960151607,0.15996243827183032,14.289409580677242,1.0
33,18.0,6.0,10.0,0.6,0.55,24.2,0.5,6.839999999999975,311.15500000000003,317.995,20.495000000000005,-0.7028951861349328,-0.835802778938326,0.15996243827183032,14.936148315307031,1.0
54,18.5,5.0,11.0,0.6,0.55,24.2,0.5,7.300000000000011,310.185,317.485,20.495000000000005,-0.7032394995432198,-0.8354153960149279,0.15996243827183032,13.819554617119321,1.0
