simulation_id,mu,Delta,chi,sleep_time,bedtime,dlmo,number_of_switches,x_f,xc_f,n_f,H_f,S_f
4,17.5,5.0,11.0,6.669999999999998,23.3,20.495,2.0,-0.70276936291829,-0.8358968075897185,0.15996243827182915,14.692985275614515,1.0
28,18.0,5.0,10.0,6.75,22.22,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.629566567781445,1.0
29,18.0,5.0,11.0,6.984999999999999,22.775000000000002,20.495,2.0,-0.70276937556209,-0.8358967945653593,0.15996243827182915,14.29922525388736,1.0
32,18.0,6.0,9.0,6.684999999999999,22.69,20.495,2.0,-0.702769376378014,-0.8358967937248737,0.15996243827182915,14.288645309115385,1.0
33,18.0,6.0,10.0,6.84,23.155,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.936209836990045,1.0
34,18.0,6.0,11.0,6.635000000000002,23.36,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.208218368702298,1.0
36,18.0,7.0,8.0,6.550000000000001,23.05,20.495,2.0,-0.7027693760029127,-0.8358967941112648,0.15996243827182915,14.931506813055977,1.0
37,18.0,7.0,9.0,6.560000000000002,23.435,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.567893198664178,1.0
52,18.5,5.0,9.0,6.530000000000001,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.64213793417881,1.0
53,18.5,5.0,10.0,6.974999999999998,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.628928690310198,1.0
54,18.5,5.0,11.0,7.300000000000001,22.19,20.495,2.0,-0.7027693763393345,-0.8358967937647163,0.15996243827182915,13.825740994097439,1.0
57,18.5,6.0,9.0,6.969999999999999,21.995,20.495,2.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.52757306817331,1.0
58,18.5,6.0,10.0,7.25,22.66,20.495,2.0,-0.7027693735846384,-0.8358967966023289,0.15996243827182915,14.47556391194168,1.0
59,18.5,6.0,11.0,7.07,22.925,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.867123449832691,1.0
61,18.5,7.0,8.0,6.829999999999998,22.37,20.495,2.0,-0.7027693765668666,-0.8358967935303372,0.15996243827182915,14.041202361979824,1.0
62,18.5,7.0,9.0,7.039999999999999,22.955000000000002,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.029520047070564,1.0
63,18.5,7.0,10.0,6.789999999999999,23.205000000000002,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.444918522512673,1.0
64,18.5,7.0,11.0,6.580000000000002,23.415,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.721284846864458,1.0
65,18.5,8.0,7.0,6.594999999999999,22.67,20.495,2.0,-0.7027693764907212,-0.8358967936087746,0.15996243827182915,14.516642350045002,1.0
66,18.5,8.0,8.0,6.785,23.21,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.596843697063344,1.0
67,18.5,8.0,9.0,6.52,23.475,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,16.083597328092317,1.0
70,18.5,9.0,7.0,6.535,23.46,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,16.25133611601169,1.0
77,19.0,5.0,9.0,6.724999999999998,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.959408117797707,1.0
78,19.0,5.0,10.0,7.164999999999999,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.937446250861818,1.0
79,19.0,5.0,11.0,7.52,21.995,20.495,2.0,-0.7027693764520507,-0.8358967936486104,0.15996243827182915,13.870834067280736,1.0
81,19.0,6.0,8.0,6.620000000000001,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.807526898647591,1.0
82,19.0,6.0,9.0,7.145,21.995,20.495,2.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.844672780288835,1.0
83,19.0,6.0,10.0,7.559999999999999,22.035,20.495,2.0,-0.7027693760029127,-0.8358967941112648,0.15996243827182915,13.864644195050058,1.0
84,19.0,6.0,11.0,7.510000000000002,22.485,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.506669485633562,1.0
86,19.0,7.0,8.0,7.044999999999998,21.995,20.495,2.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.710693495461637,1.0
87,19.0,7.0,9.0,7.460000000000001,22.415,20.495,2.0,-0.7027693748298757,-0.83589679531961,0.15996243827182915,14.412385149220738,1.0
88,19.0,7.0,10.0,7.245000000000001,22.75,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.00307149888616,1.0
89,19.0,7.0,11.0,7.010000000000002,22.985,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.367273380595,1.0
90,19.0,8.0,7.0,6.829999999999998,21.995,20.495,2.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.496520638114479,1.0
91,19.0,8.0,8.0,7.294999999999998,22.69,20.495,2.0,-0.7027692577734845,-0.8358969158992461,0.15996243827182915,14.89027767369146,1.0
92,19.0,8.0,9.0,6.990000000000002,23.005,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.527611849305735,1.0
93,19.0,8.0,10.0,6.740000000000002,23.255,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.950350003515913,1.0
94,19.0,8.0,11.0,6.535,23.46,20.5,2.0,-0.702424273606269,-0.8362844181519722,0.15996243827182915,16.237817284515494,1.0
95,19.0,9.0,7.0,7.059999999999999,22.905,20.495,2.0,-0.7027693682219427,-0.8358968021264342,0.15996243827182915,15.321882750795693,1.0
96,19.0,9.0,8.0,6.75,23.245,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,16.108704161806873,1.0
102,19.5,5.0,9.0,6.905000000000001,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,14.277006193036922,1.0
103,19.5,5.0,10.0,7.34,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,14.246621100768861,1.0
104,19.5,5.0,11.0,7.695,21.995,20.495,2.0,-0.7027693765728972,-0.835896793524124,0.15996243827182915,14.170129541657257,1.0
106,19.5,6.0,8.0,6.789999999999999,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,14.13176260983838,1.0
107,19.5,6.0,9.0,7.315000000000001,21.995,20.495,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,14.159891442568021,1.0
108,19.5,6.0,10.0,7.734999999999999,21.995,20.495,2.0,-0.7027693764907212,-0.8358967936087746,0.15996243827182915,14.112999464073566,1.0
109,19.5,6.0,11.0,7.969999999999999,22.025000000000002,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.1033148352812,1.0
110,19.5,7.0,7.0,6.559999999999999,21.995,20.495,2.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.9010373815921,1.0
111,19.5,7.0,8.0,7.204999999999998,21.995,20.495,2.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,14.032758443901965,1.0
112,19.5,7.0,9.0,7.710000000000001,21.995,20.495,2.0,-0.7027693763018545,-0.8358967938033224,0.15996243827182915,14.042007183353439,1.0
113,19.5,7.0,10.0,7.710000000000001,22.285,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.528839845762185,1.0
114,19.5,7.0,11.0,7.449999999999999,22.545,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.993271299100972,1.0
115,19.5,8.0,7.0,6.98,21.995,20.495,2.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.823444593798786,1.0
116,19.5,8.0,8.0,7.599999999999998,21.995,20.495,2.0,-0.702769376079076,-0.8358967940328094,0.15996243827182915,13.93351147308154,1.0
117,19.5,8.0,9.0,7.475000000000001,22.52,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.96050576316614,1.0
118,19.5,8.0,10.0,7.190000000000001,22.805,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.50237149170966,1.0
119,19.5,8.0,11.0,6.955000000000002,23.04,20.5,2.0,-0.702424273606269,-0.8362844181519722,0.15996243827182915,15.872190841692369,1.0
120,19.5,9.0,7.0,7.350000000000001,22.185,20.495,2.0,-0.7027693763018545,-0.8358967938033224,0.15996243827182915,14.129479745942728,1.0
121,19.5,9.0,8.0,7.254999999999999,22.740000000000002,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.378430016224875,1.0
122,19.5,9.0,9.0,6.945,23.05,20.5,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,16.030337863938183,1.0
123,19.5,9.0,10.0,6.695,23.3,20.5,2.0,-0.702424273606269,-0.8362844181519722,0.15996243827182915,16.46902807512544,1.0
