simulation_id,mu,Delta,chi,sleep_time,number_of_switches,x_f,xc_f,n_f,H_f,S_f
4,17.5,5.0,11.0,6.665833853841349,2.0,-0.70276936291829,-0.8358968075897185,0.15996243827182915,14.692985275614515,1.0
28,18.0,5.0,10.0,6.74578388507183,2.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.629566567781445,1.0
29,18.0,5.0,11.0,6.980637101811368,2.0,-0.70276937556209,-0.8358967945653593,0.15996243827182915,14.29922525388736,1.0
32,18.0,6.0,9.0,6.680824484697064,2.0,-0.702769376378014,-0.8358967937248737,0.15996243827182915,14.288645309115385,1.0
33,18.0,6.0,10.0,6.835727670206121,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.936209836990045,1.0
34,18.0,6.0,11.0,6.630855715178014,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.208218368702298,1.0
36,18.0,7.0,8.0,6.5459088069956275,2.0,-0.7027693760029127,-0.8358967941112648,0.15996243827182915,14.931506813055977,1.0
37,18.0,7.0,9.0,6.555902560899438,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.567893198664178,1.0
52,18.5,5.0,9.0,6.525921299188007,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.64213793417881,1.0
53,18.5,5.0,10.0,6.970643347907558,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.628928690310198,1.0
54,18.5,5.0,11.0,7.295440349781386,2.0,-0.7027693763393345,-0.8358967937647163,0.15996243827182915,13.825740994097439,1.0
57,18.5,6.0,9.0,6.965646470955653,1.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.52757306817331,1.0
58,18.5,6.0,10.0,7.245471580262336,2.0,-0.7027693735846384,-0.8358967966023289,0.15996243827182915,14.47556391194168,1.0
59,18.5,6.0,11.0,7.065584009993754,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.867123449832691,1.0
61,18.5,7.0,8.0,6.825733916302311,2.0,-0.7027693765668666,-0.8358967935303372,0.15996243827182915,14.041202361979824,1.0
62,18.5,7.0,9.0,7.035602748282323,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.029520047070564,1.0
63,18.5,7.0,10.0,6.78575890068707,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.444918522512673,1.0
64,18.5,7.0,11.0,6.575890068707058,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.721284846864458,1.0
65,18.5,8.0,7.0,6.590880699562773,2.0,-0.7027693764907212,-0.8358967936087746,0.15996243827182915,14.516642350045002,1.0
66,18.5,8.0,8.0,6.780762023735165,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.596843697063344,1.0
67,18.5,8.0,9.0,6.515927545284198,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,16.083597328092317,1.0
70,18.5,9.0,7.0,6.530918176139912,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,16.25133611601169,1.0
77,19.0,5.0,9.0,6.720799500312305,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.959408117797707,1.0
78,19.0,5.0,10.0,7.1605246720799505,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.937446250861818,1.0
79,19.0,5.0,11.0,7.5153029356652095,1.0,-0.7027693764520507,-0.8358967936486104,0.15996243827182915,13.870834067280736,1.0
81,19.0,6.0,8.0,6.615865084322299,1.0,-0.7027693766490413,-0.8358967934456897,0.15996243827182915,13.807526898647591,1.0
82,19.0,6.0,9.0,7.14053716427233,1.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.844672780288835,1.0
83,19.0,6.0,10.0,7.555277951280449,2.0,-0.7027693760029127,-0.8358967941112648,0.15996243827182915,13.864644195050058,1.0
84,19.0,6.0,11.0,7.505309181761399,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,14.506669485633562,1.0
86,19.0,7.0,8.0,7.040599625234228,1.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.710693495461637,1.0
87,19.0,7.0,9.0,7.455340412242348,2.0,-0.7027693748298757,-0.83589679531961,0.15996243827182915,14.412385149220738,1.0
88,19.0,7.0,10.0,7.240474703310431,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.00307149888616,1.0
89,19.0,7.0,11.0,7.0056214865708935,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.367273380595,1.0
90,19.0,8.0,7.0,6.825733916302311,1.0,-0.7027693766877086,-0.8358967934058568,0.15996243827182915,13.496520638114479,1.0
91,19.0,8.0,8.0,7.290443472829481,2.0,-0.7027692577734845,-0.8358969158992461,0.15996243827182915,14.89027767369146,1.0
92,19.0,8.0,9.0,6.985633978763273,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.527611849305735,1.0
93,19.0,8.0,10.0,6.73579013116802,2.0,-0.7024242736450854,-0.8362844181120334,0.15996243827182915,15.950350003515913,1.0
94,19.0,8.0,11.0,6.530918176139912,2.0,-0.702424273606269,-0.8362844181519722,0.15996243827182915,16.237817284515494,1.0
