simulation_id,mu,Delta,chi,p,k,tauc,sleep_time,bedtime,number_of_switches,dlmo,x_f,xc_f,n_f,H_f,S_f
0,19.0,6.0,11.0,0.5,0.4,23.8,7.610000000000003,22.185,2.0,19.965,-0.7778256407904944,-0.7335897289684107,0.16805113894097712,14.079330278032913,1.0
1,19.0,6.0,11.0,0.5,0.4,23.95,7.594999999999999,22.400000000000002,2.0,20.26,-0.7345619511271421,-0.7940610041942273,0.16805113894097712,14.362894847380227,1.0
2,19.0,6.0,11.0,0.5,0.4,24.1,7.469999999999999,22.525000000000002,2.0,20.545,-0.68641461476069,-0.8481617689663181,0.16805113894097712,14.574617117950432,1.0
3,19.0,6.0,11.0,0.5,0.4,24.25,7.344999999999999,22.650000000000002,2.0,20.830000000000002,-0.6337340726220516,-0.8967553856839585,0.16805113894097712,14.78895296227561,1.0
4,19.0,6.0,11.0,0.5,0.4,24.4,7.219999999999999,22.775000000000002,2.0,21.11,-0.5769794748340124,-0.9401637374358003,0.16805113894097712,15.005640823278373,1.0
5,19.0,6.0,11.0,0.5,0.475,23.8,7.59,22.065,2.0,19.84,-0.7970195209164176,-0.7057617754813109,0.16805113894097712,13.933727432934068,1.0
6,19.0,6.0,11.0,0.5,0.475,23.95,7.655000000000001,22.335,2.0,20.135,-0.7573727827313558,-0.7685928828428437,0.16805113894097712,14.255402366854405,1.0
7,19.0,6.0,11.0,0.5,0.475,24.1,7.539999999999999,22.455000000000002,2.0,20.425,-0.7123829848957426,-0.8251154887185682,0.16805113894097712,14.463408738571664,1.0
8,19.0,6.0,11.0,0.5,0.475,24.25,7.414999999999999,22.580000000000002,2.0,20.705000000000002,-0.6630785829100565,-0.875564033668826,0.16805113894097712,14.668679011421206,1.0
9,19.0,6.0,11.0,0.5,0.475,24.4,7.289999999999999,22.705000000000002,2.0,20.98,-0.6098244416668439,-0.9206720031225569,0.16805113894097712,14.876200839974421,1.0
10,19.0,6.0,11.0,0.5,0.55,23.8,7.555,21.995,2.0,19.72,-0.8143559305830048,-0.6764012054307581,0.16805113894097712,13.858107208185816,1.0
