simulation_id,mu,Delta,chi,p,k,tauc,sleep_time,bedtime,number_of_switches,dlmo,x_f,xc_f,n_f,H_f,S_f
0,19.0,6.0,11.0,0.5,0.4,23.8,7.620000000000001,24.16,2.0,21.965,-0.30501295880569534,-1.044052657181632,0.7997253302595261,16.549970024187648,0.0
1,19.0,6.0,11.0,0.5,0.4,23.95,7.600000000000001,24.395,2.0,22.26,-0.2351196395058483,-1.08515335036605,0.7997253302595261,16.50430004704957,0.0
2,19.0,6.0,11.0,0.5,0.4,24.1,7.359999999999999,24.635,2.0,22.545,-0.16378076172768607,-1.1190147274480067,0.7997253302595261,16.546525658704493,0.0
3,19.0,6.0,11.0,0.5,0.4,24.25,7.18,24.815,2.0,22.830000000000002,-0.09094050148086405,-1.146131444778261,0.7997253302595261,16.582356848714895,0.0
4,19.0,6.0,11.0,0.5,0.4,24.4,7.015000000000001,24.98,2.0,23.11,-0.01720722265260557,-1.1664247612067584,0.7997253302595261,16.617654604140803,0.0
5,19.0,6.0,11.0,0.5,0.475,23.8,7.594999999999999,24.060000000000002,2.0,21.84,-0.3368915286982842,-1.0238135586446167,0.7997253302595261,16.58185659683864,0.0
6,19.0,6.0,11.0,0.5,0.475,23.95,7.685000000000002,24.29,2.0,22.135,-0.26909565279501024,-1.068451155441318,0.7997253302595261,16.493746597798197,0.0
7,19.0,6.0,11.0,0.5,0.475,24.1,7.469999999999999,24.525000000000002,2.0,22.425,-0.19935210574378207,-1.105995768938874,0.7997253302595261,16.52596414348844,0.0
8,19.0,6.0,11.0,0.5,0.475,24.25,7.27,24.725,2.0,22.705000000000002,-0.12855550753508554,-1.1365316707636577,0.7997253302595261,16.56331959206649,0.0
9,19.0,6.0,11.0,0.5,0.475,24.4,7.109999999999999,24.885,2.0,22.98,-0.057006388403073094,-1.1603626773048663,0.7997253302595261,16.597259630703217,0.0
10,19.0,6.0,11.0,0.5,0.55,23.8,7.555,23.995,2.0,21.72,-0.36789008311286026,-1.0013292536114573,0.7997253302595261,16.61283008516528,0.0
11,19.0,6.0,11.0,0.5,0.55,23.95,7.66,24.185000000000002,2.0,22.015,-0.3017218466002548,-1.049970423059031,0.7997253302595261,16.52707381863856,0.0
12,19.0,6.0,11.0,0.5,0.55,24.1,7.574999999999999,24.42,2.0,22.305,-0.23363851945925163,-1.0911490902881604,0.7997253302595261,16.506882372430375,0.0
13,19.0,6.0,11.0,0.5,0.55,24.25,7.350000000000001,24.645,2.0,22.580000000000002,-0.16464806157361664,-1.1250909084824265,0.7997253302595261,16.54651938446069,0.0
14,19.0,6.0,11.0,0.5,0.55,24.4,7.199999999999999,24.795,2.0,22.855,-0.09501927385641959,-1.1523110175097728,0.7997253302595261,16.578101211137444,0.0
15,19.0,6.0,11.0,0.5,0.625,23.8,7.495000000000001,23.995,2.0,21.59,-0.39814765527322904,-0.976316468855279,0.7997253302595261,16.638966989515506,0.0
16,19.0,6.0,11.0,0.5,0.625,23.95,7.629999999999999,24.085,2.0,21.895,-0.3333972984484989,-1.0294050417209601,0.7997253302595261,16.561171047286855,0.0
17,19.0,6.0,11.0,0.5,0.625,24.1,7.68,24.315,2.0,22.185000000000002,-0.26681604740040954,-1.074420171137901,0.7997253302595261,16.488217211144537,0.0
18,19.0,6.0,11.0,0.5,0.625,24.25,7.449999999999999,24.545,2.0,22.46,-0.199553263748823,-1.111770978545723,0.7997253302595261,16.527555160724784,0.0
19,19.0,6.0,11.0,0.5,0.625,24.4,7.285,24.71,2.0,22.73,-0.13149205709009662,-1.1423935810435475,0.7997253302595261,16.560151965294608,0.0
20,19.0,6.0,11.0,0.5,0.7,23.8,7.43,23.995,2.0,21.46,-0.42780101130357295,-0.9483748919725251,0.7997253302595261,16.667121862102125,0.0
21,19.0,6.0,11.0,0.5,0.7,23.95,7.594999999999999,23.995,2.0,21.775000000000002,-0.3642997788685873,-1.0065116088764967,0.7997253302595261,16.595326111300487,0.0
22,19.0,6.0,11.0,0.5,0.7,24.1,7.695,24.215,2.0,22.065,-0.29940876269876493,-1.0554294671350295,0.7997253302595261,16.504802761884207,0.0
23,19.0,6.0,11.0,0.5,0.7,24.25,7.555,24.44,2.0,22.345,-0.23318909717258157,-1.0966833747866402,0.7997253302595261,16.508448450795736,0.0
24,19.0,6.0,11.0,0.5,0.7,24.4,7.365000000000002,24.63,2.0,22.615000000000002,-0.16662962851760874,-1.1306722521203576,0.7997253302595261,16.543376120987716,0.0
25,19.0,6.0,11.0,0.55,0.4,23.8,7.614999999999998,24.150000000000002,2.0,21.945,-0.30908136517559437,-1.0403353609183976,0.7810873111796259,16.55443505968911,0.0
26,19.0,6.0,11.0,0.55,0.4,23.95,7.605,24.39,2.0,22.25,-0.23714254999367196,-1.0824652329960225,0.7810873111796259,16.503721413459218,0.0
27,19.0,6.0,11.0,0.55,0.4,24.1,7.359999999999999,24.635,2.0,22.545,-0.16369539942877626,-1.1169965780790863,0.7810873111796259,16.546752498167116,0.0
28,19.0,6.0,11.0,0.55,0.4,24.25,7.170000000000002,24.825,2.0,22.835,-0.08869932685098997,-1.144440599566254,0.7810873111796259,16.584473448260734,0.0
29,19.0,6.0,11.0,0.55,0.4,24.4,7.0,24.995,2.0,23.125,-0.012774390404417925,-1.1647171321163599,0.7810873111796259,16.620887161363243,0.0
30,19.0,6.0,11.0,0.55,0.475,23.8,7.59,24.045,2.0,21.825,-0.3410201421325192,-1.02003126013898,0.7810873111796259,16.58724323170212,0.0
31,19.0,6.0,11.0,0.55,0.475,23.95,7.675000000000001,24.285,2.0,22.13,-0.27122231384257633,-1.0657760184968956,0.7810873111796259,16.49906309551089,0.0
32,19.0,6.0,11.0,0.55,0.475,24.1,7.469999999999999,24.525000000000002,2.0,22.425,-0.19936019415013218,-1.104086310925527,0.7810873111796259,16.526202907694692,0.0
33,19.0,6.0,11.0,0.55,0.475,24.25,7.260000000000002,24.735,2.0,22.71,-0.12644747844455792,-1.1350241634194644,0.7810873111796259,16.565418971454715,0.0
34,19.0,6.0,11.0,0.55,0.475,24.4,7.100000000000001,24.895,2.0,22.995,-0.05276142224877681,-1.1589264681988207,0.7810873111796259,16.599416580228304,0.0
35,19.0,6.0,11.0,0.55,0.55,23.8,7.544999999999998,23.995,2.0,21.7,-0.37210714030997105,-0.9974763432330374,0.7810873111796259,16.617196142229666,0.0
36,19.0,6.0,11.0,0.55,0.55,23.95,7.655000000000001,24.18,2.0,22.005,-0.30390163602050213,-1.0473583607428696,0.7810873111796259,16.530315093879487,0.0
37,19.0,6.0,11.0,0.55,0.55,24.1,7.574999999999999,24.42,2.0,22.305,-0.23374783029938415,-1.0893636182123818,0.7810873111796259,16.507106892293226,0.0
38,19.0,6.0,11.0,0.55,0.55,24.25,7.344999999999999,24.650000000000002,2.0,22.59,-0.16267040465776939,-1.1237792261060822,0.7810873111796259,16.547568582108056,0.0
