simulation_id,mu,Delta,chi,p,k,tauc,sleep_time,bedtime,number_of_switches,dlmo,x_f,xc_f,n_f,H_f,S_f
0,19.0,6.0,11.0,0.2,-1.0,23.5,7.010000000000002,24.985,2.0,23.625,0.2667669119179415,-1.0514285250849347,0.8869507706545604,16.679234952366482,0.0
3,19.0,6.0,11.0,0.2,-1.0,24.4,7.640000000000001,23.995,2.0,21.98,0.08502001528235847,-1.0844401723907255,0.8869507706545604,16.658840221037398,0.0
5,19.0,6.0,11.0,0.2,-0.5,23.5,6.789999999999999,25.205000000000002,2.0,23.145,0.056649781574492075,-1.1309149912468968,0.8869507706545604,16.668993335930057,0.0
10,19.0,6.0,11.0,0.2,0.0,23.5,7.610000000000003,24.345,2.0,22.14,-0.2352949833506652,-1.0773583634662534,0.8869507706545604,16.515993858306157,0.0
11,19.0,6.0,11.0,0.2,0.0,23.8,7.195,24.8,2.0,22.7,-0.09484618479906783,-1.133758056439893,0.8869507706545604,16.581495546827778,0.0
12,19.0,6.0,11.0,0.2,0.0,24.1,6.824999999999999,25.17,2.0,23.28,0.05678780563990125,-1.1650645195034832,0.8869507706545604,16.658978579897237,0.0
15,19.0,6.0,11.0,0.2,0.5,23.5,7.335000000000001,23.995,2.0,21.32,-0.44068225556538854,-0.930853107876303,0.8869507706545604,16.707972413098513,0.0
16,19.0,6.0,11.0,0.2,0.5,23.8,7.609999999999999,24.085,2.0,21.875,-0.3292105237912797,-1.0329845283187904,0.8869507706545604,16.570038247070606,0.0
17,19.0,6.0,11.0,0.2,0.5,24.1,7.5,24.495,2.0,22.39,-0.20991430913562167,-1.1096064307088522,0.8869507706545604,16.51953401135973,0.0
18,19.0,6.0,11.0,0.2,0.5,24.4,7.195,24.8,2.0,22.88,-0.08644317384133703,-1.1636972241961683,0.8869507706545604,16.579163279739447,0.0
19,19.0,6.0,11.0,0.2,0.5,24.7,6.925000000000001,25.07,2.0,23.36,0.03887171373074502,-1.1966514552942298,0.8869507706545604,16.6371371797468,0.0
20,19.0,6.0,11.0,0.2,1.0,23.5,6.515000000000001,23.995,2.0,19.94,-0.6054671888202791,-0.5733884109278722,0.8869507706545604,17.04649150868826,0.0
21,19.0,6.0,11.0,0.2,1.0,23.8,7.100000000000001,23.995,2.0,20.94,-0.5183331214896102,-0.8132718816790706,0.8869507706545604,16.807521659358127,0.0
22,19.0,6.0,11.0,0.2,1.0,24.1,7.504999999999999,23.995,2.0,21.59,-0.415729774847694,-0.9590095444275636,0.8869507706545604,16.63462073312943,0.0
23,19.0,6.0,11.0,0.2,1.0,24.4,7.765000000000001,24.22,2.0,22.115000000000002,-0.30896236610430344,-1.0612763110706904,0.8869507706545604,16.47188662284114,0.0
24,19.0,6.0,11.0,0.2,1.0,24.7,7.469999999999999,24.525000000000002,2.0,22.575,-0.20101152357466726,-1.1356017817996724,0.8869507706545604,16.521553848787445,0.0
30,19.0,6.0,11.0,0.4,-0.5,23.5,6.865000000000002,25.13,2.0,23.055,0.0296968975302648,-1.1243507435271385,0.8333708057815902,16.654172323137367,0.0
33,19.0,6.0,11.0,0.4,-0.5,24.4,6.895,25.03,2.0,24.995,0.5264420598691175,-0.6533371262233792,0.8333708057815902,16.78547958470384,0.0
35,19.0,6.0,11.0,0.4,0.0,23.5,7.59,24.28,2.0,22.065,-0.25588827280702137,-1.0635955924386409,0.8333708057815902,16.538836164408654,0.0
36,19.0,6.0,11.0,0.4,0.0,23.8,7.219999999999999,24.775000000000002,2.0,22.665,-0.10549513658607998,-1.1253285006111688,0.8333708057815902,16.577357316973266,0.0
37,19.0,6.0,11.0,0.4,0.0,24.1,6.809999999999999,25.185000000000002,2.0,23.29,0.05776470426548352,-1.158801158204577,0.8333708057815902,16.66226581177631,0.0
40,19.0,6.0,11.0,0.4,0.5,23.5,7.289999999999999,23.995,2.0,21.225,-0.4609861951484533,-0.9120474946315877,0.8333708057815902,16.726986554327688,0.0
41,19.0,6.0,11.0,0.4,0.5,23.8,7.599999999999998,24.045,2.0,21.830000000000002,-0.34008677547251637,-1.0231702530540947,0.8333708057815902,16.583049587204197,0.0
42,19.0,6.0,11.0,0.4,0.5,24.1,7.504999999999999,24.490000000000002,2.0,22.385,-0.2106775735607664,-1.1045533779404824,0.8333708057815902,16.51920546981721,0.0
43,19.0,6.0,11.0,0.4,0.5,24.4,7.164999999999999,24.830000000000002,2.0,22.91,-0.07681041010645183,-1.1602249688590935,0.8333708057815902,16.585539901676743,0.0
44,19.0,6.0,11.0,0.4,0.5,24.7,6.865000000000002,25.13,2.0,23.43,0.058920988628179245,-1.1917690179560234,0.8333708057815902,16.650210649215683,0.0
46,19.0,6.0,11.0,0.4,1.0,23.8,7.07,23.995,2.0,20.86,-0.5334940310474771,-0.7996353524100602,0.8333708057815902,16.82007767851452,0.0
47,19.0,6.0,11.0,0.4,1.0,24.1,7.5,23.995,2.0,21.575,-0.41956027023002723,-0.9570360851094537,0.8333708057815902,16.636576763840313,0.0
48,19.0,6.0,11.0,0.4,1.0,24.4,7.760000000000002,24.235,2.0,22.135,-0.3022117304252637,-1.063680664313533,0.8333708057815902,16.47065826401166,0.0
49,19.0,6.0,11.0,0.4,1.0,24.7,7.43,24.565,2.0,22.63,-0.18485570235499926,-1.1386437892980439,0.8333708057815902,16.529840657738138,0.0
54,19.0,6.0,11.0,0.6000000000000001,-1.0,24.7,6.579999999999998,23.995,2.0,19.59,-0.3388142602017887,-0.9525771818310216,0.7612326496697409,17.08740517451195,0.0
55,19.0,6.0,11.0,0.6000000000000001,-0.5,23.5,6.975000000000001,25.02,2.0,22.92,-0.010661823028922997,-1.1131698854320107,0.7612326496697409,16.632790635068893,0.0
60,19.0,6.0,11.0,0.6000000000000001,0.0,23.5,7.555,24.185000000000002,2.0,21.945,-0.28696617354049964,-1.042539262233612,0.7612326496697409,16.57387032795189,0.0
61,19.0,6.0,11.0,0.6000000000000001,0.0,23.8,7.27,24.725,2.0,22.615000000000002,-0.12139213790859227,-1.1129264807634502,0.7612326496697409,16.568886735482593,0.0
62,19.0,6.0,11.0,0.6000000000000001,0.0,24.1,6.789999999999999,25.205000000000002,2.0,23.3,0.05987460406345342,-1.1497570215058466,0.7612326496697409,16.666660833619606,0.0
65,19.0,6.0,11.0,0.6000000000000001,0.5,23.5,7.225000000000001,23.995,2.0,21.075,-0.49157971629316866,-0.882660764178336,0.7612326496697409,16.754834748922466,0.0
66,19.0,6.0,11.0,0.6000000000000001,0.5,23.8,7.574999999999999,23.995,2.0,21.765,-0.3560254065759742,-1.0085933666220714,0.7612326496697409,16.604086369910146,0.0
67,19.0,6.0,11.0,0.6000000000000001,0.5,24.1,7.504999999999999,24.490000000000002,2.0,22.385,-0.21092175688333445,-1.0973590072638875,0.7612326496697409,16.520121188947495,0.0
68,19.0,6.0,11.0,0.6000000000000001,0.5,24.4,7.115000000000002,24.88,2.0,22.965,-0.06092904550533442,-1.1550694501591399,0.7612326496697409,16.596201276779368,0.0
69,19.0,6.0,11.0,0.6000000000000001,0.5,24.7,6.77,25.225,2.0,23.54,0.09097043334251051,-1.183570226597803,0.7612326496697409,16.67106383284201,0.0
71,19.0,6.0,11.0,0.6000000000000001,1.0,23.8,7.024999999999999,23.995,2.0,20.740000000000002,-0.5556937824720324,-0.7783541730361931,0.7612326496697409,16.83884761306757,0.0
72,19.0,6.0,11.0,0.6000000000000001,1.0,24.1,7.495000000000001,23.995,2.0,21.555,-0.42375362724802523,-0.9543679699769324,0.7612326496697409,16.638966989515506,0.0
73,19.0,6.0,11.0,0.6000000000000001,1.0,24.4,7.719999999999999,24.275000000000002,2.0,22.18,-0.2904519344907999,-1.0668427632840858,0.7612326496697409,16.478043758004485,0.0
